train_lang,test_lang,acc
ar,ar,0.7179590196866211
ar,bg,0.74568099638409
ar,de,0.7553234230614705
ar,el,0.7416633186018481
ar,en,0.793089594214544
ar,es,0.7641623141824025
ar,fr,0.7464845319405383
ar,hi,0.6926476496584973
ar,ru,0.7296102852551225
ar,sw,0.6291683406990759
ar,th,0.7267979108075532
ar,tr,0.7091201285656891
ar,ur,0.6661309762957011
ar,vi,0.7183607874648453
ar,zh,0.7372438730413821
bg,ar,0.7127360385697067
bg,bg,0.7472880674969867
bg,de,0.7541181197267979
bg,el,0.7348332663720369
bg,en,0.8035355564483728
bg,es,0.7673764564081961
bg,fr,0.7492969063881076
bg,hi,0.6862193652069104
bg,ru,0.7376456408196063
bg,sw,0.6235435918039374
bg,th,0.7276014463640016
bg,tr,0.721976697468863
bg,ur,0.6536761751707513
bg,vi,0.7388509441542789
bg,zh,0.7227802330253114
de,ar,0.7095218963439133
de,bg,0.7476898352752109
de,de,0.7625552430695058
de,el,0.7472880674969867
de,en,0.8127762153475291
de,es,0.7774206508638007
de,fr,0.7589393330654881
de,hi,0.698272398553636
de,ru,0.7352350341502611
de,sw,0.6452390518280434
de,th,0.7191643230212937
de,tr,0.7171554841301727
de,ur,0.6601044596223383
de,vi,0.7376456408196063
de,zh,0.7388509441542789
el,ar,0.7127360385697067
el,bg,0.7460827641623142
el,de,0.7468862997187625
el,el,0.7480916030534351
el,en,0.7886701486540779
el,es,0.7657693852952994
el,fr,0.7601446364001607
el,hi,0.6902370429891522
el,ru,0.72840498192045
el,sw,0.6432302129369225
el,th,0.7247890719164323
el,tr,0.7127360385697067
el,ur,0.6609079951787866
el,vi,0.7263961430293291
el,zh,0.7312173563680193
en,ar,0.6862193652069104
en,bg,0.7448774608276416
en,de,0.7496986741663318
en,el,0.7368421052631579
en,en,0.8147850542386501
en,es,0.7617517075130574
en,fr,0.7424668541582965
en,hi,0.6822016874246686
en,ru,0.7243873041382081
en,sw,0.627159501807955
en,th,0.7042989152269988
en,tr,0.715548413017276
en,ur,0.6464443551627159
en,vi,0.7151466452390518
en,zh,0.7276014463640016
es,ar,0.702691844114102
es,bg,0.7416633186018481
es,de,0.7492969063881076
es,el,0.7452792286058658
es,en,0.8035355564483728
es,es,0.7633587786259542
es,fr,0.7480916030534351
es,hi,0.698272398553636
es,ru,0.7364403374849338
es,sw,0.6347930895942145
es,th,0.7087183607874649
es,tr,0.715548413017276
es,ur,0.6621132985134592
es,vi,0.7368421052631579
es,zh,0.7259943752511049
fr,ar,0.6914423463238248
fr,bg,0.7408597830453998
fr,de,0.756528726396143
fr,el,0.7452792286058658
fr,en,0.8055443953394937
fr,es,0.7657693852952994
fr,fr,0.7613499397348332
fr,hi,0.6866211329851346
fr,ru,0.72840498192045
fr,sw,0.6311771795901968
fr,th,0.7099236641221374
fr,tr,0.723985536359984
fr,ur,0.6536761751707513
fr,vi,0.72840498192045
fr,zh,0.7235837685817598
hi,ar,0.6970670952189635
hi,bg,0.7203696263559662
hi,de,0.7388509441542789
hi,el,0.7171554841301727
hi,en,0.7742065086380072
hi,es,0.739252711932503
hi,fr,0.7472880674969867
hi,hi,0.7010847730012053
hi,ru,0.7259943752511049
hi,sw,0.6307754118119727
hi,th,0.7079148252310165
hi,tr,0.71112896745681
hi,ur,0.6556850140618722
hi,vi,0.7211731619124147
hi,zh,0.7183607874648453
ru,ar,0.7107271996785858
ru,bg,0.7513057452792286
ru,de,0.7529128163921254
ru,el,0.7404580152671756
ru,en,0.8023302531137003
ru,es,0.7798312575331459
ru,fr,0.758537565287264
ru,hi,0.706709521896344
ru,ru,0.739252711932503
ru,sw,0.6323824829248694
ru,th,0.7163519485737244
ru,tr,0.7187625552430695
ru,ur,0.6765769385295299
ru,vi,0.7308155885897951
ru,zh,0.7440739252711932
sw,ar,0.687424668541583
sw,bg,0.7271996785857774
sw,de,0.7364403374849338
sw,el,0.7251908396946565
sw,en,0.7750100441944556
sw,es,0.7505022097227803
sw,fr,0.7388509441542789
sw,hi,0.6862193652069104
sw,ru,0.7179590196866211
sw,sw,0.6564885496183206
sw,th,0.7010847730012053
sw,tr,0.7055042185616713
sw,ur,0.6609079951787866
sw,vi,0.7075130574527922
sw,zh,0.7211731619124147
th,ar,0.7010847730012053
th,bg,0.7589393330654881
th,de,0.7484933708316593
th,el,0.7376456408196063
th,en,0.7934913619927682
th,es,0.76295701084773
th,fr,0.758537565287264
th,hi,0.7051024507834471
th,ru,0.7320208919244676
th,sw,0.6364001607071113
th,th,0.7460827641623142
th,tr,0.7251908396946565
th,ur,0.6733627963037364
th,vi,0.732824427480916
th,zh,0.7484933708316593
tr,ar,0.6990759341100844
tr,bg,0.7388509441542789
tr,de,0.7545198875050221
tr,el,0.7203696263559662
tr,en,0.7830453997589394
tr,es,0.7653676175170752
tr,fr,0.7424668541582965
tr,hi,0.7047006830052229
tr,ru,0.7263961430293291
tr,sw,0.6335877862595419
tr,th,0.715548413017276
tr,tr,0.7352350341502611
tr,ur,0.6649256729610286
tr,vi,0.7183607874648453
tr,zh,0.7263961430293291
ur,ar,0.6548814785054239
ur,bg,0.6834069907593411
ur,de,0.6890317396544797
ur,el,0.6649256729610286
ur,en,0.7083165930092407
ur,es,0.6902370429891522
ur,fr,0.6817999196464444
ur,hi,0.657292085174769
ur,ru,0.6773804740859783
ur,sw,0.5672961028525513
ur,th,0.670148654077943
ur,tr,0.6576938529529932
ur,ur,0.6239453595821615
ur,vi,0.6705504218561671
ur,zh,0.6813981518682202
vi,ar,0.7095218963439133
vi,bg,0.7484933708316593
vi,de,0.7404580152671756
vi,el,0.7288067496986742
vi,en,0.7999196464443552
vi,es,0.756528726396143
vi,fr,0.7529128163921254
vi,hi,0.6962635596625151
vi,ru,0.752109280835677
vi,sw,0.6219365206910406
vi,th,0.7175572519083969
vi,tr,0.7042989152269988
vi,ur,0.6629168340699076
vi,vi,0.7396544797107272
vi,zh,0.7344314985938127
zh,ar,0.7083165930092407
zh,bg,0.7468862997187625
zh,de,0.7468862997187625
zh,el,0.7380474085978305
zh,en,0.7934913619927682
zh,es,0.7681799919646445
zh,fr,0.7517075130574528
zh,hi,0.6986741663318602
zh,ru,0.7263961430293291
zh,sw,0.6299718762555243
zh,th,0.7300120530333467
zh,tr,0.7207713941341904
zh,ur,0.6826034552028927
zh,vi,0.7332261952591402
zh,zh,0.7492969063881076
